group	scene	gameobject_segment	fsm_name	fsm_id	relative_path	source_asset	content_hash
Abyss	Abyss_01.unity	Cave_Spikes__96	FSM	4788	Abyss/Abyss_01.unity/Cave_Spikes__96__FSM__fsm_4788.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level327	0178c5500094254995d1b0198446de4f874c911d392f57a5466ba30002881ec3
Abyss	Abyss_01.unity	Cave_Spikes__97	FSM	4785	Abyss/Abyss_01.unity/Cave_Spikes__97__FSM__fsm_4785.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level327	24972f572f2b27f4008f4c83bfda969f850bd12200cf73e0c4aefe5793f6e11e
Abyss	Abyss_01.unity	Cave_Spikes__98	FSM	4773	Abyss/Abyss_01.unity/Cave_Spikes__98__FSM__fsm_4773.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level327	a4d1b6d68cf79e82b336234bc857da05c7de43be6342f8b4c5ec5f90a831a156
Abyss	Abyss_01.unity	Darkness_Region	Darkness Region	4816	Abyss/Abyss_01.unity/Darkness_Region__Darkness_Region__fsm_4816.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level327	61b5a2cbeae01e630cf1f9cd5895604e6bef7e9cfd69fb4df02a501dbe744bdd
Abyss	Abyss_01.unity	Dream_Dialogue	npc_dream_dialogue	4805	Abyss/Abyss_01.unity/Dream_Dialogue__npc_dream_dialogue__fsm_4805.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level327	750ef82d145e2f8946a5d4c96e9e498c1635dc9a0e25861243aaae1cfe1067e2
Abyss	Abyss_01.unity	EnemyDetector	enemy_message	4774	Abyss/Abyss_01.unity/EnemyDetector__enemy_message__fsm_4774.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level327	579ea125961dfa1eca16b701934a2de27554ad76505d9c89df25ef16820f7773
Abyss	Abyss_01.unity	EnemyDetector	enemy_message	4782	Abyss/Abyss_01.unity/EnemyDetector__enemy_message__fsm_4782.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level327	b5b89c044684b13512382532dc27d471fd0444cdc69a1329a0a12ebf615acf8d
Abyss	Abyss_01.unity	EnemyDetector	enemy_message	4846	Abyss/Abyss_01.unity/EnemyDetector__enemy_message__fsm_4846.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level327	e5a3b857facd9b3a88728fcf975f0e8d59982ecbfeb78b14fa16b10bd8e200fb
Abyss	Abyss_01.unity	EnemyDetector	enemy_message	4852	Abyss/Abyss_01.unity/EnemyDetector__enemy_message__fsm_4852.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level327	b6fa650be31c518e6ef20e9e59c58beb809f0ad8ac62c376ed6504798fa371b7
Abyss	Abyss_01.unity	EnemyDetector	enemy_message	4857	Abyss/Abyss_01.unity/EnemyDetector__enemy_message__fsm_4857.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level327	2da300d9aaa952c76536ac3cc352b1cfb43b88be63e58ee047a0a7ce5ff11602
Abyss	Abyss_01.unity	Enemy_Msg__1	enemy_message	4829	Abyss/Abyss_01.unity/Enemy_Msg__1__enemy_message__fsm_4829.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level327	4a4989b267b278bf57742a9f8b151a81546b5c56872eee4961a0e746b80173e3
