scene	scene_path	level_file
Pre_Menu_Intro	Assets/Scenes/Pre_Menu_Intro.unity	level0
Menu_Title	Assets/Scenes/Menu_Title.unity	level1
Quit_To_Menu	Assets/Scenes/Quit_To_Menu.unity	level2
BetaEnd	Assets/Scenes/BetaEnd.unity	level3
Knight_Pickup	Assets/Scenes/Data/Knight_Pickup.unity	level4
Opening_Sequence	Assets/Scenes/Opening_Sequence.unity	level5
Tutorial_01	Assets/Scenes/Tutorial_01.unity	level6
Town	Assets/Scenes/Town.unity	level7
Cinematic_Stag_travel	Assets/Scenes/Cinematic_Stag_travel.unity	level8
Room_Town_Stag_Station	Assets/Scenes/Room_Town_Stag_Station.unity	level9
Room_Charm_Shop	Assets/Scenes/Room_Charm_Shop.unity	level10
Room_Mender_House	Assets/Scenes/Room_Mender_House.unity	level11
Room_mapper	Assets/Scenes/Room_mapper.unity	level12
Room_nailmaster	Assets/Scenes/Room_nailmaster.unity	level13
Room_nailmaster_02	Assets/Scenes/Room_nailmaster_02.unity	level14
Room_nailmaster_03	Assets/Scenes/Room_nailmaster_03.unity	level15
Room_nailsmith	Assets/Scenes/Room_nailsmith.unity	level16
Room_shop	Assets/Scenes/Room_shop.unity	level17
Room_Sly_Storeroom	Assets/Scenes/Room_Sly_Storeroom.unity	level18
Room_temple	Assets/Scenes/Room_temple.unity	level19
Room_ruinhouse	Assets/Scenes/Room_ruinhouse.unity	level20
Room_Mask_Maker	Assets/Scenes/Room_Mask_Maker.unity	level21
Room_Mansion	Assets/Scenes/Room_Mansion.unity	level22
Room_Tram	Assets/Scenes/Room_Tram.unity	level23
Room_Tram_RG	Assets/Scenes/Room_Tram_RG.unity	level24
Room_Bretta	Assets/Scenes/Room_Bretta.unity	level25
Room_Bretta_Basement	Assets/Scenes/Room_Bretta_Basement.unity	level26
Room_Fungus_Shaman	Assets/Scenes/Room_Fungus_Shaman.unity	level27
Room_Ouiji	Assets/Scenes/Room_Ouiji.unity	level28
Room_Jinn	Assets/Scenes/Room_Jinn.unity	level29
Room_Colosseum_01	Assets/Scenes/Room_Colosseum_01.unity	level30
Room_Colosseum_02	Assets/Scenes/Room_Colosseum_02.unity	level31
Room_Colosseum_Bronze	Assets/Scenes/Room_Colosseum_Bronze.unity	level32
Room_Colosseum_Silver	Assets/Scenes/Room_Colosseum_Silver.unity	level33
Room_Colosseum_Gold	Assets/Scenes/Room_Colosseum_Gold.unity	level34
Room_Colosseum_Spectate	Assets/Scenes/Room_Colosseum_Spectate.unity	level35
Room_Slug_Shrine	Assets/Scenes/Room_Slug_Shrine.unity	level36
Crossroads_01	Assets/Scenes/Crossroads/Crossroads_01.unity	level37
Crossroads_02	Assets/Scenes/Crossroads/Crossroads_02.unity	level38
Crossroads_03	Assets/Scenes/Crossroads/Crossroads_03.unity	level39
Crossroads_04	Assets/Scenes/Crossroads/Crossroads_04.unity	level40
Crossroads_05	Assets/Scenes/Crossroads/Crossroads_05.unity	level41
Crossroads_06	Assets/Scenes/Crossroads/Crossroads_06.unity	level42
Crossroads_07	Assets/Scenes/Crossroads/Crossroads_07.unity	level43
Crossroads_08	Assets/Scenes/Crossroads/Crossroads_08.unity	level44
Crossroads_09	Assets/Scenes/Crossroads/Crossroads_09.unity	level45
Crossroads_10	Assets/Scenes/Crossroads/Crossroads_10.unity	level46
Crossroads_10_preload	Assets/Scenes/Crossroads/Crossroads_10_preload.unity	level47
Crossroads_10_boss	Assets/Scenes/Crossroads/Crossroads_10_boss.unity	level48
Crossroads_10_boss_defeated	Assets/Scenes/Crossroads/Crossroads_10_boss_defeated.unity	level49
